initialPrice,sector,daysBeatSP,spvalue,priceChange100Days
8.5,Health Care,128,2182.87,-0.03647058823529418
100.0,Technology,103,1667.47,-0.01980000000000004
28.0,Health Care,125,2102.31,-0.2146428571428572
24.75,Consumer Non-Durables,78,2500.6,0.027474747474747464
20.05,Finance,128,1507.84,-0.18234413965087276
8.8997,Public Utilities,142,1405.87,0.6619998426913267
14.1,Health Care,118,1846.34,-0.4382978723404255
11.0,Technology,123,1978.22,0.20454545454545456
12.27,Consumer Services,126,1408.47,-0.16707416462917676
25.5,Consumer Services,132,1878.21,0.19607843137254902
40.25,Consumer Services,118,1710.14,-0.05739130434782614
8.84,Health Care,112,1842.37,-0.19004524886877824
13.06,Health Care,133,1390.99,-0.16003062787136293
24.8,Consumer Services,66,2560.4,0.023790322580645156
10.0,Consumer Services,119,2070.77,-0.27699999999999997
21.68,Consumer Services,132,2090.1,-0.007841328413284047
16.07,Finance,102,1931.59,-0.25015556938394523
11.0,Health Care,111,1751.64,0.7418181818181818
210.0,Transportation,49,1973.28,-0.2857142857142857
27.78,Consumer Services,110,2109.6,-0.006479481641468672
12.75,Transportation,116,2102.31,-0.2854901960784314
15.39,Consumer Services,126,1592.43,0.21832358674463934
17.15,Consumer Non-Durables,118,2111.72,0.03615160349854234
24.7,Consumer Services,121,2090.54,0.028744939271255095
551.4064,Technology,126,1849.04,0.03930041435862925
15.85,Consumer Non-Durables,131,2381.38,0.18990536277602524
18.13,Consumer Services,102,2438.3,-0.01930501930501919
15.0,Basic Industries,120,2101.49,-0.11000000000000003
10.273,Energy,21,1521.38,-0.11418280930594764
28.65,Miscellaneous,132,1957.22,1.6691099476439792
29.76,Consumer Services,110,1669.16,-0.13306451612903228
21.11,Basic Industries,120,1685.94,-0.1042160113690194
34.0,Miscellaneous,138,1865.09,0.25764705882352934
10.0,Finance,66,2343.98,0.0019999999999999575
10.15,Finance,70,2274.64,0.02463054187192118
11.0,Capital Goods,133,2056.5,-0.22636363636363638
15.25,Technology,113,2164.69,-0.20000000000000004
13.35,Health Care,126,2357.03,0.9213483146067415
10.51,Finance,50,2270.76,-0.06184586108468129
10.04,Finance,86,2133.04,0.0318725099601594
17.4,Finance,147,1862.49,0.37988505747126455
12.0005,Finance,103,1965.99,-0.44668972126161416
8.9,Health Care,136,1582.7,0.6460674157303371
16.45,Technology,127,1326.06,0.5240121580547114
6.24,Public Utilities,124,2075.81,0.2740384615384615
30.0,Consumer Services,119,2052.75,0.03200000000000003
8.55,Health Care,55,2550.93,-0.36491228070175447
11.03,Consumer Services,128,1541.61,0.057116953762466074
24.47,Finance,125,1555.25,0.008173273395995212
23.0,Finance,123,2183.87,0.06468695652173913
24.67,Finance,133,2019.64,0.1256586947709768
11.85,Finance,105,1432.56,0.04219409282700422
17.5,Energy,134,2328.95,0.5594285714285714
17.0,Basic Industries,132,1415.51,-0.08352941176470588
13.02,Health Care,116,2040.59,-0.000768049155145913
22.14,Technology,118,2002.33,-0.09620596205962055
17.8,Consumer Services,141,1613.2,0.15337078651685396
5.8001,Capital Goods,114,2268.88,-0.30518439337252795
25.31,Energy,120,2352.95,-0.23785065191623864
25.76,Consumer Services,130,2253.28,0.31987577639751547
26.3,Consumer Services,116,1994.99,0.2821292775665398
13.02,Finance,118,1517.93,-0.19201228878648235
8.81,Technology,109,1857.62,-0.036322360953462
7.5,Consumer Services,80,2081.34,0.26665333333333335
21.65,Finance,126,2083.39,0.21062355658198625
17.74,Finance,142,2395.96,0.25535512965050744
44.9245,Consumer Services,135,1775.5,0.039058865429776615
13.74,Consumer Services,129,1790.62,0.49053857350800584
21.75,Consumer Services,119,1909.57,-0.16091954022988506
11.33,Finance,144,1342.64,0.41173874669020294
10.2,Consumer Services,123,1553.28,0.2176470588235295
14.49,Consumer Services,137,2164.25,-0.004140786749482436
12.6,Finance,137,2098.86,0.48809523809523814
9.5209,Technology,134,2033.66,-0.030952956128097016
17.0401,Miscellaneous,132,1930.67,0.4448272017182999
11.33,Finance,128,1900.53,0.25772285966460723
11.31,Health Care,108,2074.33,-0.2997347480106101
19.66,Consumer Services,131,1315.13,0.021363173957273558
11.24,Finance,144,1341.45,0.17081850533807827
89.024,Health Care,112,1685.94,-0.10753841660675768
11.13,Capital Goods,112,2080.15,0.016172506738544448
29.07,Technology,129,1928.21,0.4255245958032335
9.75,Transportation,45,2351.16,0.013333333333333414
9.75,Transportation,47,2181.9,0.045128205128205076
13.08,Finance,96,2270.44,0.08715596330275234
12.11,Finance,55,2587.84,-0.07018992568125514
38.0,Capital Goods,127,1440.67,0.3102631578947368
9.69,Finance,14,2578.85,-0.009287925696594413
32.81,Health Care,125,1941.28,0.4196891191709843
16.25,Capital Goods,114,2124.2,-0.43261538461538457
16.9,Consumer Services,116,1541.61,0.3609467455621303
25.1,Finance,126,2050.63,0.06755776892430274
24.6,Finance,134,2108.63,0.04146341463414632
12.27,Basic Industries,129,1829.83,0.016299918500407587
29.0,Finance,138,1553.69,0.17551724137931046
15.2,Finance,93,2019.42,0.2828947368421053
14.355,Finance,74,2358.57,0.23162661093695572
10.61,Energy,118,1931.59,-0.46936852026390197
9.76,Technology,149,2259.53,0.9877049180327868
18.74,Health Care,128,1432.84,1.082177161152615
